Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NearestCentroid,0.6242916833609983,0.5912710763713852,0.5912710763713852,0.6402331058164283,0.046905517578125
NuSVC,0.6027703050769847,0.5712607786450951,0.5712607786450951,0.6206601596242983,156.0430154800415
GaussianNB,0.6853070803045046,0.5630561871580531,0.563056187158053,0.6682031150558777,0.03249001502990723
QuadraticDiscriminantAnalysis,0.6852498425963024,0.5559745201279926,0.5559745201279926,0.6644584632823448,0.39112377166748047
KNeighborsClassifier,0.6898288592524755,0.5533176758506355,0.5533176758506355,0.6646123324656116,3.5219428539276123
RandomForestClassifier,0.7312117222826398,0.5424459528772206,0.5424459528772206,0.66317709254163,3.140763282775879
BaggingClassifier,0.7297807795775857,0.5410068857252781,0.5410068857252781,0.6617518813627171,0.43488550186157227
ExtraTreesClassifier,0.7327571404040982,0.5404751717717408,0.5404751717717408,0.6610059812742148,2.4423575401306152
DecisionTreeClassifier,0.7326426649876939,0.5401377973290987,0.5401377973290987,0.6606518626845441,0.0935821533203125
ExtraTreeClassifier,0.7317840993646615,0.5392226712075875,0.5392226712075875,0.6597367963074469,0.046594858169555664
LGBMClassifier,0.738251960391506,0.5347026671216264,0.5347026671216264,0.653522724203477,1.0849759578704834
XGBClassifier,0.7378512964340908,0.5342971440275652,0.5342971440275652,0.6531121610490879,0.6151940822601318
LogisticRegression,0.7347032224829718,0.5312216464963968,0.5312216464963969,0.65003085616648,0.06773972511291504
CalibratedClassifierCV,0.7291511647873619,0.5270051561595042,0.5270051561595043,0.6461127059612246,0.5602262020111084
SVC,0.7388243374735276,0.5265692315691504,0.5265692315691504,0.6427203386354492,185.95446944236755
LinearDiscriminantAnalysis,0.7266327056264668,0.522813282817988,0.522813282817988,0.6415420328760044,0.4708266258239746
SGDClassifier,0.7364203537290367,0.5216164087754297,0.5216164087754297,0.6366898727760147,0.1383521556854248
AdaBoostClassifier,0.736534829145441,0.5215015322025467,0.5215015322025467,0.636476815061221,0.7350194454193115
LinearSVC,0.7297235418693836,0.5193885789104853,0.5193885789104854,0.6361631981936889,0.08670926094055176
BernoulliNB,0.7353328372731955,0.5189282098737882,0.5189282098737882,0.633267799463784,0.08170604705810547
RidgeClassifierCV,0.7262320416690515,0.5140734195806802,0.5140734195806801,0.6301703434891232,0.09339308738708496
RidgeClassifier,0.7262320416690515,0.5140734195806802,0.5140734195806801,0.6301703434891232,0.030620574951171875
DummyClassifier,0.7250300497968062,0.5,0.5,0.6094601924995782,0.024491310119628906
PassiveAggressiveClassifier,0.6380287333295175,0.4931087695860408,0.4931087695860408,0.6117814719413472,0.05681037902832031
Perceptron,0.6142178467174174,0.4803707644881864,0.4803707644881864,0.5971193116222409,0.047066688537597656
